iyear,country_txt,eventid
1970,Colombia,1
1970,Egypt,1
1970,Guatemala,4
1970,Lebanon,1
1970,Nicaragua,1
1970,Pakistan,1
1970,Philippines,10
1970,Spain,4
1970,Turkey,12
1970,United Kingdom,12
1970,United States,468
1971,Egypt,1
1971,Guatemala,1
1971,Israel,1
1971,Lebanon,1
1971,Philippines,4
1971,Spain,22
1971,Turkey,35
1971,United Kingdom,81
1971,United States,247
1972,Algeria,1
1972,Colombia,2
1972,Egypt,1
1972,El Salvador,2
1972,France,11
1972,India,1
1972,Israel,15
1972,Lebanon,3
1972,Philippines,7
1972,Spain,19
1972,Thailand,1
1972,Turkey,9
1972,United Kingdom,292
1972,United States,68
1972,West Bank and Gaza Strip,1
1973,Afghanistan,1
1973,Chile,7
1973,Colombia,6
1973,El Salvador,1
1973,France,14
1973,Israel,1
1973,Lebanon,11
1973,Peru,3
1973,Spain,21
1973,United Kingdom,189
1973,United States,58
1974,El Salvador,3
1974,France,29
1974,Guatemala,1
1974,Israel,12
1974,Lebanon,11
1974,Nicaragua,1
1974,Pakistan,2
1974,Peru,3
1974,Philippines,1
1974,South Africa,1
1974,Spain,14
1974,Syria,4
1974,Thailand,1
1974,Turkey,1
1974,United Kingdom,203
1974,United States,94
1975,Colombia,10
1975,El Salvador,3
1975,France,39
1975,Guatemala,5
1975,India,1
1975,Iraq,1
1975,Israel,2
1975,Lebanon,15
1975,Nicaragua,1
1975,Pakistan,2
1975,Peru,2
1975,Philippines,4
1975,Somalia,1
1975,Spain,136
1975,Sri Lanka,1
1975,Syria,2
1975,Turkey,10
1975,United Kingdom,194
1975,United States,149
1976,Algeria,1
1976,Chile,2
1976,Colombia,22
1976,El Salvador,13
1976,France,58
1976,Guatemala,13
1976,India,1
1976,Iraq,3
1976,Israel,2
1976,Lebanon,4
1976,Nigeria,1
1976,Pakistan,3
1976,Philippines,10
1976,South Africa,1
1976,Spain,50
1976,Syria,2
1976,Turkey,35
1976,United Kingdom,194
1976,United States,105
1976,West Bank and Gaza Strip,1
1977,Chile,6
1977,Colombia,80
1977,Egypt,1
1977,El Salvador,6
1977,France,53
1977,Guatemala,8
1977,India,1
1977,Israel,6
1977,Lebanon,4
1977,Nicaragua,5
1977,Peru,4
1977,Philippines,2
1977,South Africa,15
1977,Spain,147
1977,Syria,3
1977,Thailand,3
1977,Turkey,189
1977,United Kingdom,140
1977,United States,130
1978,Algeria,1
1978,Chile,8
1978,Colombia,158
1978,Egypt,2
1978,El Salvador,91
1978,France,59
1978,Guatemala,29
1978,Israel,23
1978,Lebanon,12
1978,Nicaragua,76
1978,Pakistan,2
1978,Peru,4
1978,Philippines,36
1978,South Africa,9
1978,Spain,209
1978,Syria,1
1978,Thailand,5
1978,Turkey,52
1978,United Kingdom,100
1978,United States,87
1978,West Bank and Gaza Strip,4
1979,Afghanistan,3
1979,Algeria,1
1979,Chile,49
1979,Colombia,140
1979,Egypt,1
1979,El Salvador,326
1979,France,212
1979,Guatemala,60
1979,India,20
1979,Iraq,2
1979,Israel,130
1979,Lebanon,38
1979,Libya,3
1979,Nicaragua,206
1979,Pakistan,7
1979,Peru,3
1979,Philippines,50
1979,South Africa,16
1979,Spain,279
1979,Sri Lanka,3
1979,Syria,28
1979,Thailand,16
1979,Turkey,141
1979,United Kingdom,239
1979,United States,69
1979,West Bank and Gaza Strip,22
1980,Chile,41
1980,Colombia,141
1980,Egypt,5
1980,El Salvador,710
1980,France,94
1980,Guatemala,281
1980,India,10
1980,Iraq,6
1980,Israel,79
1980,Lebanon,86
1980,Libya,2
1980,Nicaragua,35
1980,Nigeria,1
1980,Pakistan,1
1980,Peru,64
1980,Philippines,60
1980,Somalia,1
1980,South Africa,23
1980,Spain,187
1980,Syria,33
1980,Thailand,26
1980,Turkey,95
1980,United Kingdom,134
1980,United States,67
1980,West Bank and Gaza Strip,56
1981,Chile,34
1981,Colombia,172
1981,Egypt,9
1981,El Salvador,664
1981,France,66
1981,Guatemala,399
1981,India,16
1981,Iraq,3
1981,Israel,36
1981,Lebanon,81
1981,Nicaragua,47
1981,Pakistan,4
1981,Peru,149
1981,Philippines,31
1981,Somalia,8
1981,South Africa,42
1981,Spain,107
1981,Sri Lanka,2
1981,Syria,41
1981,Thailand,18
1981,Turkey,8
1981,United Kingdom,142
1981,United States,74
1981,West Bank and Gaza Strip,17
1982,Chile,21
1982,Colombia,222
1982,Egypt,1
1982,El Salvador,537
1982,France,62
1982,Guatemala,354
1982,India,13
1982,Iraq,5
1982,Israel,71
1982,Lebanon,120
1982,Nicaragua,63
1982,Pakistan,4
1982,Peru,350
1982,Philippines,38
1982,South Africa,26
1982,Spain,146
1982,Sri Lanka,2
1982,Syria,20
1982,Thailand,3
1982,Turkey,5
1982,United Kingdom,95
1982,United States,78
1982,West Bank and Gaza Strip,39
1983,Chile,106
1983,Colombia,234
1983,El Salvador,371
1983,France,121
1983,Guatemala,117
1983,India,47
1983,Iraq,3
1983,Israel,31
1983,Lebanon,234
1983,Nicaragua,299
1983,Nigeria,3
1983,Pakistan,9
1983,Peru,536
1983,Philippines,16
1983,Somalia,1
1983,South Africa,56
1983,Spain,122
1983,Sri Lanka,7
1983,Syria,1
1983,Thailand,1
1983,Turkey,5
1983,United Kingdom,177
1983,United States,44
1983,West Bank and Gaza Strip,34
1984,Chile,563
1984,Colombia,237
1984,El Salvador,273
1984,France,145
1984,Guatemala,74
1984,India,159
1984,Iraq,2
1984,Israel,25
1984,Lebanon,166
1984,Libya,3
1984,Nicaragua,302
1984,Pakistan,3
1984,Peru,592
1984,Philippines,43
1984,Somalia,2
1984,South Africa,60
1984,Spain,143
1984,Sri Lanka,81
1984,Syria,1
1984,Thailand,1
1984,Turkey,19
1984,United Kingdom,145
1984,United States,63
1984,West Bank and Gaza Strip,26
1985,Chile,232
1985,Colombia,382
1985,Egypt,2
1985,El Salvador,436
1985,France,106
1985,Guatemala,63
1985,India,39
1985,Israel,21
1985,Lebanon,95
1985,Nicaragua,258
1985,Pakistan,2
1985,Peru,352
1985,Philippines,124
1985,South Africa,106
1985,Spain,114
1985,Sri Lanka,110
1985,Syria,1
1985,Thailand,1
1985,Turkey,2
1985,United Kingdom,67
1985,United States,40
1985,West Bank and Gaza Strip,1
1986,Chile,243
1986,Colombia,307
1986,Egypt,4
1986,El Salvador,175
1986,France,95
1986,Guatemala,31
1986,India,96
1986,Israel,48
1986,Lebanon,106
1986,Nicaragua,171
1986,Pakistan,24
1986,Peru,568
1986,Philippines,80
1986,South Africa,159
1986,Spain,125
1986,Sri Lanka,142
1986,Syria,4
1986,Thailand,3
1986,Turkey,7
1986,United Kingdom,95
1986,United States,49
1986,West Bank and Gaza Strip,13
1987,Afghanistan,1
1987,Chile,173
1987,Colombia,337
1987,Egypt,7
1987,El Salvador,234
1987,France,87
1987,Guatemala,56
1987,India,166
1987,Iraq,3
1987,Israel,23
1987,Lebanon,94
1987,Nicaragua,223
1987,Pakistan,60
1987,Peru,627
1987,Philippines,160
1987,Somalia,1
1987,South Africa,133
1987,Spain,104
1987,Sri Lanka,115
1987,Turkey,43
1987,United Kingdom,117
1987,United States,34
1987,West Bank and Gaza Strip,11
1988,Afghanistan,11
1988,Chile,185
1988,Colombia,427
1988,Egypt,9
1988,El Salvador,367
1988,France,54
1988,Guatemala,29
1988,India,358
1988,Iraq,4
1988,Israel,35
1988,Lebanon,125
1988,Nicaragua,62
1988,Nigeria,2
1988,Pakistan,44
1988,Peru,355
1988,Philippines,210
1988,Somalia,2
1988,South Africa,245
1988,Spain,151
1988,Sri Lanka,350
1988,Thailand,5
1988,Turkey,42
1988,United Kingdom,181
1988,United States,27
1988,West Bank and Gaza Strip,18
1989,Afghanistan,10
1989,Chile,146
1989,Colombia,492
1989,Egypt,7
1989,El Salvador,356
1989,France,25
1989,Guatemala,79
1989,India,324
1989,Iraq,4
1989,Israel,87
1989,Lebanon,141
1989,Nicaragua,21
1989,Pakistan,45
1989,Peru,630
1989,Philippines,156
1989,Somalia,2
1989,South Africa,149
1989,Spain,142
1989,Sri Lanka,510
1989,Syria,1
1989,Thailand,16
1989,Turkey,114
1989,United Kingdom,163
1989,United States,42
1989,West Bank and Gaza Strip,100
1990,Afghanistan,2
1990,Algeria,2
1990,Chile,161
1990,Colombia,349
1990,Egypt,13
1990,El Salvador,184
1990,France,30
1990,Guatemala,83
1990,India,349
1990,Israel,98
1990,Lebanon,84
1990,Nicaragua,15
1990,Pakistan,87
1990,Peru,495
1990,Philippines,320
1990,Somalia,12
1990,South Africa,154
1990,Spain,113
1990,Sri Lanka,141
1990,Thailand,10
1990,Turkey,195
1990,United Kingdom,147
1990,United States,32
1990,West Bank and Gaza Strip,88
1991,Afghanistan,30
1991,Algeria,30
1991,Chile,127
1991,Colombia,420
1991,Egypt,10
1991,El Salvador,500
1991,France,137
1991,Guatemala,77
1991,India,339
1991,Iraq,3
1991,Israel,64
1991,Lebanon,91
1991,Nicaragua,80
1991,Nigeria,3
1991,Pakistan,150
1991,Peru,658
1991,Philippines,162
1991,Somalia,8
1991,South Africa,127
1991,Spain,89
1991,Sri Lanka,115
1991,Thailand,8
1991,Turkey,293
1991,United Kingdom,262
1991,United States,30
1991,West Bank and Gaza Strip,83
1991,Yemen,5
1992,Afghanistan,36
1992,Algeria,215
1992,Chile,116
1992,Colombia,523
1992,Egypt,79
1992,El Salvador,29
1992,France,126
1992,Guatemala,48
1992,India,237
1992,Iraq,35
1992,Israel,78
1992,Lebanon,91
1992,Libya,1
1992,Nicaragua,30
1992,Nigeria,11
1992,Pakistan,85
1992,Peru,383
1992,Philippines,162
1992,Russia,21
1992,Somalia,21
1992,South Africa,271
1992,Spain,72
1992,Sri Lanka,103
1992,Thailand,25
1992,Turkey,514
1992,United Kingdom,274
1992,United States,32
1992,West Bank and Gaza Strip,119
1992,Yemen,24
1994,Afghanistan,9
1994,Algeria,227
1994,Chile,15
1994,Colombia,201
1994,Egypt,143
1994,El Salvador,21
1994,France,97
1994,Guatemala,84
1994,India,107
1994,Iraq,18
1994,Israel,55
1994,Lebanon,67
1994,Nicaragua,19
1994,Nigeria,8
1994,Pakistan,154
1994,Peru,91
1994,Philippines,72
1994,Russia,47
1994,Somalia,57
1994,South Africa,174
1994,Spain,55
1994,Sri Lanka,35
1994,Thailand,24
1994,Turkey,300
1994,United Kingdom,256
1994,United States,55
1994,West Bank and Gaza Strip,165
1994,Yemen,19
1995,Afghanistan,6
1995,Algeria,185
1995,Chile,17
1995,Colombia,123
1995,Egypt,102
1995,El Salvador,9
1995,France,71
1995,Guatemala,82
1995,India,179
1995,Iraq,17
1995,Israel,13
1995,Lebanon,38
1995,Libya,1
1995,Nicaragua,18
1995,Nigeria,1
1995,Pakistan,666
1995,Peru,44
1995,Philippines,63
1995,Russia,37
1995,Somalia,13
1995,South Africa,32
1995,Spain,44
1995,Sri Lanka,126
1995,Thailand,12
1995,Turkey,133
1995,United Kingdom,22
1995,United States,60
1995,West Bank and Gaza Strip,67
1995,Yemen,8
1996,Afghanistan,4
1996,Algeria,129
1996,Chile,8
1996,Colombia,409
1996,Egypt,51
1996,El Salvador,7
1996,France,270
1996,Guatemala,26
1996,India,213
1996,Iraq,12
1996,Israel,19
1996,Lebanon,39
1996,Libya,4
1996,Nicaragua,26
1996,Nigeria,11
1996,Pakistan,180
1996,Peru,42
1996,Philippines,61
1996,Russia,66
1996,Somalia,16
1996,South Africa,47
1996,Spain,63
1996,Sri Lanka,176
1996,Syria,2
1996,Thailand,19
1996,Turkey,54
1996,United Kingdom,36
1996,United States,35
1996,West Bank and Gaza Strip,30
1996,Yemen,8
1997,Afghanistan,1
1997,Algeria,344
1997,Chile,6
1997,Colombia,598
1997,Egypt,22
1997,El Salvador,2
1997,France,130
1997,Guatemala,26
1997,India,193
1997,Iraq,21
1997,Israel,13
1997,Lebanon,46
1997,Nicaragua,7
1997,Nigeria,20
1997,Pakistan,206
1997,Peru,58
1997,Philippines,57
1997,Russia,77
1997,Somalia,19
1997,South Africa,17
1997,Spain,86
1997,Sri Lanka,64
1997,Syria,1
1997,Thailand,20
1997,Turkey,44
1997,United Kingdom,78
1997,United States,40
1997,West Bank and Gaza Strip,22
1997,Yemen,19
1998,Afghanistan,1
1998,Algeria,151
1998,Chile,1
1998,Colombia,94
1998,Egypt,3
1998,France,12
1998,India,61
1998,Iraq,7
1998,Israel,14
1998,Lebanon,23
1998,Nigeria,2
1998,Pakistan,37
1998,Peru,5
1998,Philippines,18
1998,Russia,26
1998,Somalia,1
1998,South Africa,6
1998,Spain,17
1998,Sri Lanka,35
1998,Syria,1
1998,Thailand,4
1998,Turkey,23
1998,United Kingdom,63
1998,United States,31
1998,West Bank and Gaza Strip,12
1998,Yemen,7
1999,Afghanistan,9
1999,Algeria,106
1999,Chile,3
1999,Colombia,116
1999,Egypt,1
1999,France,46
1999,Guatemala,1
1999,India,112
1999,Iraq,12
1999,Israel,8
1999,Lebanon,42
1999,Nicaragua,1
1999,Nigeria,18
1999,Pakistan,39
1999,Peru,5
1999,Philippines,31
1999,Russia,54
1999,Somalia,4
1999,South Africa,17
1999,Spain,47
1999,Sri Lanka,46
1999,Thailand,4
1999,Turkey,109
1999,United Kingdom,76
1999,United States,53
1999,West Bank and Gaza Strip,11
1999,Yemen,17
2000,Afghanistan,14
2000,Algeria,138
2000,Chile,2
2000,Colombia,137
2000,France,28
2000,Guatemala,1
2000,India,180
2000,Iraq,10
2000,Israel,15
2000,Lebanon,12
2000,Nicaragua,1
2000,Nigeria,6
2000,Pakistan,49
2000,Peru,3
2000,Philippines,132
2000,Russia,138
2000,Somalia,9
2000,South Africa,21
2000,Spain,112
2000,Sri Lanka,68
2000,Thailand,4
2000,Turkey,35
2000,United Kingdom,61
2000,United States,32
2000,West Bank and Gaza Strip,28
2000,Yemen,10
2001,Afghanistan,14
2001,Algeria,113
2001,Chile,3
2001,Colombia,207
2001,France,21
2001,Guatemala,2
2001,India,234
2001,Iraq,3
2001,Israel,79
2001,Lebanon,5
2001,Nigeria,5
2001,Pakistan,53
2001,Peru,3
2001,Philippines,50
2001,Russia,135
2001,Somalia,5
2001,Spain,79
2001,Sri Lanka,36
2001,Thailand,14
2001,Turkey,19
2001,United Kingdom,94
2001,United States,41
2001,West Bank and Gaza Strip,123
2001,Yemen,7
2002,Afghanistan,38
2002,Algeria,132
2002,Chile,1
2002,Colombia,150
2002,France,32
2002,India,184
2002,Iraq,6
2002,Israel,75
2002,Lebanon,8
2002,Nigeria,6
2002,Pakistan,46
2002,Peru,2
2002,Philippines,48
2002,Russia,89
2002,Somalia,3
2002,South Africa,8
2002,Spain,41
2002,Sri Lanka,3
2002,Thailand,12
2002,Turkey,5
2002,United Kingdom,21
2002,United States,33
2002,West Bank and Gaza Strip,86
2002,Yemen,7
2003,Afghanistan,100
2003,Algeria,75
2003,Chile,2
2003,Colombia,98
2003,France,34
2003,Guatemala,3
2003,India,196
2003,Iraq,102
2003,Israel,38
2003,Lebanon,5
2003,Nigeria,9
2003,Pakistan,29
2003,Peru,1
2003,Philippines,107
2003,Russia,76
2003,Somalia,1
2003,Spain,21
2003,Sri Lanka,9
2003,Thailand,6
2003,Turkey,19
2003,United Kingdom,23
2003,United States,33
2003,West Bank and Gaza Strip,45
2003,Yemen,7
2004,Afghanistan,88
2004,Algeria,67
2004,Colombia,37
2004,Egypt,3
2004,France,11
2004,Guatemala,2
2004,India,108
2004,Iraq,323
2004,Israel,19
2004,Lebanon,1
2004,Nigeria,6
2004,Pakistan,67
2004,Peru,3
2004,Philippines,32
2004,Russia,44
2004,Somalia,1
2004,Spain,31
2004,Sri Lanka,33
2004,Syria,1
2004,Thailand,44
2004,Turkey,27
2004,United Kingdom,5
2004,United States,9
2004,West Bank and Gaza Strip,34
2005,Afghanistan,155
2005,Algeria,104
2005,Colombia,42
2005,Egypt,2
2005,France,33
2005,India,146
2005,Iraq,617
2005,Israel,43
2005,Lebanon,17
2005,Nigeria,9
2005,Pakistan,77
2005,Peru,2
2005,Philippines,25
2005,Russia,64
2005,Somalia,6
2005,Spain,24
2005,Sri Lanka,133
2005,Thailand,155
2005,Turkey,41
2005,United Kingdom,29
2005,United States,21
2005,West Bank and Gaza Strip,38
2005,Yemen,7
2006,Afghanistan,282
2006,Algeria,152
2006,Chile,1
2006,Colombia,43
2006,Egypt,5
2006,France,34
2006,Guatemala,4
2006,India,167
2006,Iraq,838
2006,Israel,81
2006,Lebanon,8
2006,Nigeria,37
2006,Pakistan,164
2006,Peru,1
2006,Philippines,58
2006,Russia,56
2006,Somalia,10
2006,Spain,23
2006,Sri Lanka,217
2006,Syria,1
2006,Thailand,202
2006,Turkey,43
2006,United Kingdom,6
2006,United States,6
2006,West Bank and Gaza Strip,35
2006,Yemen,5
2007,Afghanistan,341
2007,Algeria,124
2007,Chile,8
2007,Colombia,30
2007,France,16
2007,India,149
2007,Iraq,1047
2007,Israel,53
2007,Lebanon,18
2007,Libya,1
2007,Nigeria,61
2007,Pakistan,260
2007,Peru,4
2007,Philippines,65
2007,Russia,51
2007,Somalia,156
2007,South Africa,2
2007,Spain,11
2007,Sri Lanka,132
2007,Thailand,293
2007,Turkey,29
2007,United Kingdom,20
2007,United States,8
2007,West Bank and Gaza Strip,88
2007,Yemen,7
2008,Afghanistan,414
2008,Algeria,107
2008,Chile,4
2008,Colombia,133
2008,Egypt,1
2008,France,13
2008,India,534
2008,Iraq,1106
2008,Israel,134
2008,Lebanon,58
2008,Libya,1
2008,Nigeria,76
2008,Pakistan,568
2008,Peru,1
2008,Philippines,276
2008,Russia,170
2008,Somalia,172
2008,South Africa,1
2008,Spain,37
2008,Sri Lanka,100
2008,Syria,1
2008,Thailand,200
2008,Turkey,32
2008,United Kingdom,39
2008,United States,18
2008,West Bank and Gaza Strip,63
2008,Yemen,22
2009,Afghanistan,503
2009,Algeria,108
2009,Chile,8
2009,Colombia,139
2009,Egypt,2
2009,France,9
2009,India,672
2009,Iraq,1137
2009,Israel,36
2009,Lebanon,14
2009,Nigeria,42
2009,Pakistan,667
2009,Peru,4
2009,Philippines,229
2009,Russia,152
2009,Somalia,122
2009,Spain,21
2009,Sri Lanka,37
2009,Thailand,298
2009,Turkey,13
2009,United Kingdom,23
2009,United States,11
2009,West Bank and Gaza Strip,10
2009,Yemen,23
2010,Afghanistan,542
2010,Algeria,100
2010,Chile,5
2010,Colombia,136
2010,Egypt,2
2010,France,3
2010,India,663
2010,Iraq,1179
2010,Israel,14
2010,Lebanon,5
2010,Nigeria,63
2010,Pakistan,713
2010,Philippines,205
2010,Russia,251
2010,Somalia,130
2010,Spain,3
2010,Sri Lanka,3
2010,Thailand,253
2010,Turkey,20
2010,United Kingdom,57
2010,United States,17
2010,West Bank and Gaza Strip,11
2010,Yemen,112
2011,Afghanistan,421
2011,Algeria,15
2011,Chile,6
2011,Colombia,94
2011,Egypt,18
2011,France,8
2011,India,645
2011,Iraq,1308
2011,Israel,51
2011,Lebanon,10
2011,Libya,2
2011,Nigeria,175
2011,Pakistan,1012
2011,Philippines,151
2011,Russia,188
2011,Somalia,185
2011,Syria,49
2011,Thailand,182
2011,Turkey,51
2011,United Kingdom,47
2011,United States,10
2011,West Bank and Gaza Strip,20
2011,Yemen,118
2012,Afghanistan,1469
2012,Algeria,41
2012,Chile,2
2012,Colombia,115
2012,Egypt,49
2012,France,66
2012,Guatemala,1
2012,India,611
2012,Iraq,1437
2012,Israel,65
2012,Lebanon,15
2012,Libya,57
2012,Nigeria,616
2012,Pakistan,1654
2012,Peru,6
2012,Philippines,249
2012,Russia,151
2012,Somalia,325
2012,South Africa,4
2012,Spain,1
2012,Sri Lanka,4
2012,Syria,180
2012,Thailand,279
2012,Turkey,188
2012,United Kingdom,55
2012,United States,20
2012,West Bank and Gaza Strip,23
2012,Yemen,312
2013,Afghanistan,1443
2013,Algeria,22
2013,Chile,5
2013,Colombia,149
2013,Egypt,321
2013,France,18
2013,Guatemala,6
2013,India,694
2013,Iraq,2852
2013,Israel,37
2013,Lebanon,121
2013,Libya,291
2013,Nigeria,346
2013,Pakistan,2215
2013,Peru,10
2013,Philippines,651
2013,Russia,144
2013,Somalia,342
2013,South Africa,13
2013,Spain,5
2013,Sri Lanka,14
2013,Syria,285
2013,Thailand,472
2013,Turkey,42
2013,United Kingdom,137
2013,United States,20
2013,West Bank and Gaza Strip,64
2013,Yemen,425
2014,Afghanistan,1824
2014,Algeria,13
2014,Chile,17
2014,Colombia,231
2014,Egypt,354
2014,France,14
2014,India,860
2014,Iraq,3933
2014,Israel,293
2014,Lebanon,204
2014,Libya,728
2014,Nicaragua,2
2014,Nigeria,714
2014,Pakistan,2151
2014,Peru,12
2014,Philippines,597
2014,Russia,48
2014,Somalia,872
2014,South Africa,20
2014,Spain,4
2014,Sri Lanka,16
2014,Syria,331
2014,Thailand,423
2014,Turkey,94
2014,United Kingdom,103
2014,United States,29
2014,West Bank and Gaza Strip,133
2014,Yemen,763
2015,Afghanistan,1928
2015,Algeria,16
2015,Chile,1
2015,Colombia,136
2015,Egypt,647
2015,France,37
2015,India,884
2015,Iraq,2751
2015,Israel,58
2015,Lebanon,44
2015,Libya,543
2015,Nigeria,638
2015,Pakistan,1243
2015,Peru,10
2015,Philippines,721
2015,Russia,21
2015,Somalia,418
2015,South Africa,5
2015,Spain,1
2015,Sri Lanka,11
2015,Syria,491
2015,Thailand,278
2015,Turkey,422
2015,United Kingdom,114
2015,United States,38
2015,West Bank and Gaza Strip,246
2015,Yemen,664
2016,Afghanistan,1617
2016,Algeria,9
2016,Chile,18
2016,Colombia,109
2016,Egypt,376
2016,France,26
2016,India,1025
2016,Iraq,3360
2016,Israel,50
2016,Lebanon,41
2016,Libya,422
2016,Nigeria,533
2016,Pakistan,864
2016,Peru,3
2016,Philippines,632
2016,Russia,55
2016,Somalia,602
2016,South Africa,27
2016,Spain,3
2016,Sri Lanka,1
2016,Syria,473
2016,Thailand,329
2016,Turkey,542
2016,United Kingdom,105
2016,United States,64
2016,West Bank and Gaza Strip,157
2016,Yemen,525
2017,Afghanistan,1414
2017,Algeria,14
2017,Chile,12
2017,Colombia,117
2017,Egypt,224
2017,France,41
2017,India,966
2017,Iraq,2466
2017,Israel,32
2017,Lebanon,23
2017,Libya,190
2017,Nigeria,484
2017,Pakistan,719
2017,Peru,8
2017,Philippines,692
2017,Russia,33
2017,Somalia,614
2017,South Africa,29
2017,Spain,4
2017,Sri Lanka,41
2017,Syria,243
2017,Thailand,179
2017,Turkey,181
2017,United Kingdom,122
2017,United States,65
2017,West Bank and Gaza Strip,83
2017,Yemen,226
